"compiled_studies","subjectID","group","optionA","optionB","quantityA","quantityB"
"housing","mouse5",2,"woodenangle","houseball",61.9517823825148,38.0482176174852
"housing","mouse5",2,"houseball","paperhouse",51.2361111111111,48.7638888888889
"structural","mouse6",2,"rope","mouseswing",48.75,51.25
"structural","mouse6",2,"clip_papertube","rope",44.8699494949495,55.1300505050505
"structural","mouse6",2,"mouseswing","clip_papertube",70.6414141414141,29.3585858585859
"structural","mouse6",2,"clip_papertube","second_plane",42.2261188952633,57.7738811047367
"structural","mouse6",2,"second_plane","rope",38.3888888888889,61.6111111111111
"structural","mouse6",2,"clip_plastictube","rope",57.060606060606,42.939393939394
"structural","mouse6",2,"clip_plastictube","second_plane",52.9570707070707,47.0429292929293
"structural","mouse6",2,"clip_plastictube","clip_papertube",46.8522727272727,53.1477272727273
"structural","mouse6",2,"clip_plastictube","mouseswing",52.915404040404,47.084595959596
"structural","mouse6",2,"second_plane","mouseswing",57.3775252525253,42.6224747474747
"foraging","mouse6",2,"treatball","latticeball",47.364898989899,52.635101010101
"foraging","mouse6",2,"tube_stones","flappuzzle",48.2146464646465,51.7853535353535
"foraging","mouse6",2,"flappuzzle","treatball",76.719696969697,23.280303030303
"foraging","mouse6",2,"tube_stones","latticeball",11.1691919191919,88.8308080808081
"foraging","mouse6",2,"tube_stones","slidingpuzzle",45.9255050505051,54.0744949494949
"foraging","mouse6",2,"tube_stones","treatball",80.7285353535353,19.2714646464647
"foraging","mouse6",2,"latticeball","slidingpuzzle",76.5820707070707,23.4179292929293
"foraging","mouse6",2,"treatball","slidingpuzzle",46.0227272727273,53.9772727272727
"foraging","mouse6",2,"flappuzzle","slidingpuzzle",58.9911616161616,41.0088383838384
"foraging","mouse6",2,"latticeball","flappuzzle",47.540404040404,52.459595959596
"housing","mouse6",2,"floorhouse","woodenangle",55.2638888888889,44.7361111111111
"housing","mouse6",2,"woodenangle_with_hole","houseball",47.8068181818182,52.1931818181818
"housing","mouse6",2,"woodenangle_with_hole","woodenangle",54.1578282828282,45.8421717171718
"housing","mouse6",2,"woodenangle","paperhouse",19.8724747474747,80.1275252525253
"housing","mouse6",2,"paperhouse","floorhouse",53.0239898989899,46.9760101010101
"housing","mouse6",2,"floorhouse","woodenangle_with_hole",70.270202020202,29.729797979798
"housing","mouse6",2,"paperhouse","woodenangle_with_hole",72.2436868686869,27.7563131313131
"housing","mouse6",2,"houseball","floorhouse",24.6376262626262,75.3623737373738
"housing","mouse6",2,"woodenangle","houseball",64.2020202020202,35.7979797979798
"housing","mouse6",2,"houseball","paperhouse",37.6060606060607,62.3939393939393
"structural","mouse7",2,"rope","mouseswing",65.2323232323233,34.7676767676767
"structural","mouse7",2,"clip_papertube","rope",47.3901515151516,52.6098484848484
"structural","mouse7",2,"mouseswing","clip_papertube",67.0618686868686,32.9381313131314
"structural","mouse7",2,"clip_papertube","second_plane",40.8320707070707,59.1679292929293
"structural","mouse7",2,"second_plane","rope",39.5075757575758,60.4924242424242
"structural","mouse7",2,"clip_plastictube","rope",50.3282828282828,49.6717171717172
"structural","mouse7",2,"clip_plastictube","second_plane",59.9292929292929,40.0707070707071
"structural","mouse7",2,"clip_plastictube","clip_papertube",49.2739898989899,50.7260101010101
"structural","mouse7",2,"clip_plastictube","mouseswing",50.125,49.875
"structural","mouse7",2,"second_plane","mouseswing",36.2411616161616,63.7588383838384
"foraging","mouse7",2,"treatball","latticeball",42.4810606060607,57.5189393939393
"foraging","mouse7",2,"tube_stones","flappuzzle",48.2613636363637,51.7386363636363
"foraging","mouse7",2,"flappuzzle","treatball",73.0744949494949,26.9255050505051
"foraging","mouse7",2,"tube_stones","latticeball",10.2967171717172,89.7032828282828
"foraging","mouse7",2,"tube_stones","slidingpuzzle",51.1679292929293,48.8320707070707
"foraging","mouse7",2,"tube_stones","treatball",84.2436868686869,15.7563131313131
"foraging","mouse7",2,"latticeball","slidingpuzzle",49.7904040404041,50.2095959595959
"foraging","mouse7",2,"treatball","slidingpuzzle",36.9482323232323,63.0517676767677
"foraging","mouse7",2,"flappuzzle","slidingpuzzle",64.4330808080808,35.5669191919192
"foraging","mouse7",2,"latticeball","flappuzzle",77.2941919191919,22.7058080808081
"housing","mouse7",2,"floorhouse","woodenangle",61.3623737373738,38.6376262626262
"housing","mouse7",2,"woodenangle_with_hole","houseball",50.9217171717171,49.0782828282829
"housing","mouse7",2,"woodenangle_with_hole","woodenangle",44.7790404040404,55.2209595959596
"housing","mouse7",2,"woodenangle","paperhouse",27.7184343434343,72.2815656565657
"housing","mouse7",2,"paperhouse","floorhouse",47.5820707070707,52.4179292929293
"housing","mouse7",2,"floorhouse","woodenangle_with_hole",46.0871212121212,53.9128787878788
"housing","mouse7",2,"paperhouse","woodenangle_with_hole",71.5265151515152,28.4734848484848
